First Investment Day,Last Investment Day,Return (%)
1930-02-20,1945-02-15,29.544411290492878
1930-03-24,1945-03-16,29.91570406231337
1930-04-21,1945-04-16,33.85652379889043
1930-05-21,1945-05-16,35.93980406176714
1930-06-20,1945-06-15,40.0076273194612
1930-07-21,1945-07-13,39.672899212445
1930-08-19,1945-08-14,36.5969426565529
1930-09-18,1945-09-13,48.361864466883056
1930-10-20,1945-10-11,54.39757849594322
1930-11-17,1945-11-09,59.284031939960634
1930-12-17,1945-12-12,61.830882844907805
1931-01-16,1946-01-11,68.83738716840504
1931-02-16,1946-02-08,72.60047610218278
1931-03-17,1946-03-12,62.088594369612494
1931-04-16,1946-04-11,74.65553329183385
1931-05-18,1946-05-10,74.32320059601908
1931-06-15,1946-06-10,75.06485945771279
1931-07-15,1946-07-10,71.5853355554307
1931-08-14,1946-08-09,67.3152172103158
1931-09-14,1946-09-06,46.89511485588464
1931-10-13,1946-10-08,34.5736540570778
1931-11-12,1946-11-07,36.67483247250015
1931-12-14,1946-12-06,35.82000800015121
1932-01-11,1947-01-06,42.03103007450989
1932-02-10,1947-02-05,46.0699969713473
1932-03-11,1947-03-07,38.503553986030056
1932-04-11,1947-04-03,38.466194601189066
1932-05-10,1947-05-06,33.14848767285533
1932-06-09,1947-06-05,29.595236337894427
1932-07-11,1947-07-03,39.16394447771369
1932-08-08,1947-08-04,37.76157009980835
1932-09-07,1947-09-03,34.524803075400015
1932-10-07,1947-10-03,33.540800884524316
1932-11-07,1947-10-31,34.65164118958947
1932-12-06,1947-12-02,30.87276922255086
1933-01-05,1947-12-31,32.143296995439854
1933-02-06,1948-01-30,26.210532735358623
1933-03-15,1948-03-01,19.973343879097833
1933-04-05,1948-03-31,28.05046245558171
1933-05-05,1948-04-30,30.53424380941704
1933-06-05,1948-05-28,40.23979197634443
1933-07-05,1948-06-29,39.87774741182944
1933-08-03,1948-07-29,34.26663033131877
1933-09-05,1948-08-27,34.49801559214259
1933-10-02,1948-09-27,26.56089030408182
1933-11-01,1948-10-27,37.68939783885273
