First Investment Day,Last Investment Day,Return (%)
1930-02-20,1950-02-14,28.882303555813838
1930-03-24,1950-03-16,39.113760532816386
1930-04-21,1950-04-14,50.79513459698628
1930-05-21,1950-05-15,58.53915197108043
1930-06-20,1950-06-14,77.91578456450216
1930-07-21,1950-07-14,22.66906903599572
1930-08-19,1950-08-11,55.391613663833304
1930-09-18,1950-09-12,70.88207986866341
1930-10-20,1950-10-11,98.7382975270949
1930-11-17,1950-11-10,100.41669562782684
1930-12-17,1950-12-11,92.2337295420845
1931-01-16,1951-01-10,126.30314794675981
1931-02-16,1951-02-09,171.32911455332962
1931-03-17,1951-03-09,163.39536670351228
1931-04-16,1951-04-10,152.19647344978577
1931-05-18,1951-05-10,183.33053517758452
1931-06-15,1951-06-08,145.81247273352676
1931-07-15,1951-07-09,153.57583545233368
1931-08-14,1951-08-08,197.3246878455067
1931-09-14,1951-09-07,221.3909809489584
1931-10-13,1951-10-05,231.7178316671117
1931-11-12,1951-11-05,192.1954871938741
1931-12-14,1951-12-06,212.2035385605611
1932-01-11,1952-01-04,235.93581766046955
1932-02-10,1952-02-04,244.0110334565466
1932-03-11,1952-03-05,225.97442414608548
1932-04-11,1952-04-04,238.9313531912832
1932-05-10,1952-05-02,218.5847318102427
1932-06-09,1952-06-03,226.9062654494117
1932-07-11,1952-07-03,279.9523345006584
1932-08-08,1952-08-01,295.6469783807917
1932-09-07,1952-08-29,276.9440712506546
1932-10-07,1952-10-01,251.50255806258593
1932-11-07,1952-10-31,252.65984413633555
1932-12-06,1952-11-28,303.1176674419638
1933-01-05,1952-12-30,347.21163409177666
1933-02-06,1953-01-29,326.7376381214349
1933-03-15,1953-02-27,308.4443820286912
1933-04-05,1953-03-30,293.1980092093379
1933-05-05,1953-04-29,248.82406497772172
1933-06-05,1953-05-29,242.0832891999971
1933-07-05,1953-06-26,227.43777962622528
1933-08-03,1953-07-28,223.1780815861887
1933-09-05,1953-08-27,209.9194315994845
1933-10-02,1953-09-25,190.0366764119751
1933-11-01,1953-10-26,228.77459733458485
1933-12-01,1953-11-25,236.4284818950419
1934-01-02,1953-12-24,247.5154160453215
1934-01-30,1954-01-22,291.5423141292341
1934-03-01,1954-02-23,291.31073066517865
1934-04-02,1954-03-25,318.1151820233195
1934-04-30,1954-04-23,383.7011088234055
1934-05-31,1954-05-24,449.0260782220037
1934-06-29,1954-06-23,453.83496205159395
1934-07-30,1954-07-23,522.4683320657726
1934-08-28,1954-08-20,576.053092042363
1934-09-27,1954-09-21,610.7788455432325
1934-10-29,1954-10-21,630.7539651650196
1934-11-26,1954-11-19,719.5007243707216
1934-12-26,1954-12-20,858.3178143317576
1935-01-25,1955-01-19,819.5296798124496
1935-02-25,1955-02-18,974.406646896971
1935-03-26,1955-03-18,904.524735330766
1935-04-25,1955-04-19,1076.2944436581356
1935-05-27,1955-05-19,1003.5203539623403
1935-06-24,1955-06-17,1238.5976171612913
1935-07-24,1955-07-18,1465.109395696197
1935-08-23,1955-08-17,1405.7059124405184
1935-09-23,1955-09-16,1769.3211204934798
1935-10-22,1955-10-14,1289.2814519401372
1935-11-21,1955-11-15,1842.1439436102385
1935-12-23,1955-12-15,1695.680525171853
1936-01-20,1956-01-13,1641.9423269007477
1936-02-19,1956-02-13,1509.9760389795947
1936-03-20,1956-03-14,1980.2500976028548
1936-04-20,1956-04-13,2027.794157950107
1936-05-19,1956-05-11,1912.98878370101
1936-06-18,1956-06-12,1801.5670874444957
1936-07-20,1956-07-12,2082.7617604313277
1936-08-17,1956-08-10,2147.4133753982132
1936-09-16,1956-09-10,1933.4529824083083
1936-10-16,1956-10-10,1825.6144644445592
1936-11-16,1956-11-09,1755.5653196123951
1936-12-15,1956-12-07,1831.6863056533123
1937-01-14,1957-01-08,1731.9946046884259
1937-02-15,1957-02-07,1431.877930831924
1937-03-15,1957-03-08,1474.5817150029027
1937-04-14,1957-04-08,1507.5702603205518
1937-05-14,1957-05-08,1722.8268748421424
1937-06-14,1957-06-07,1906.667151008612
1937-07-13,1957-07-05,2008.6566176274605
1937-08-12,1957-08-06,1752.8963405049271
1937-09-13,1957-09-05,1530.8217694906023
1937-10-11,1957-10-04,1311.5986628350215
1937-11-10,1957-11-04,1067.2386757678585
1937-12-10,1957-12-04,1156.8970869749605
1938-01-10,1958-01-03,1087.0346817238578
1938-02-08,1958-01-31,1160.5175060418792
1938-03-10,1958-03-04,1118.1431223287075
1938-04-11,1958-04-03,1120.7813810595187
1938-05-09,1958-05-02,1314.0722771490991
1938-06-08,1958-06-02,1366.3766306684606
1938-07-08,1958-07-02,1456.8518021218001
1938-08-08,1958-08-01,1681.3880565700274
1938-09-06,1958-08-29,1709.8453704494223
1938-10-06,1958-09-30,1975.6536901306354
1938-11-07,1958-10-30,2117.125614826198
1938-12-05,1958-11-28,2262.1691158408485
1939-01-04,1958-12-29,2565.69320979984
1939-02-03,1959-01-28,2614.4079502944655
1939-03-06,1959-02-27,2631.648903244472
1939-04-04,1959-03-26,2671.706243335434
1939-05-04,1959-04-28,2983.07214228764
1939-06-05,1959-05-28,3037.17631750475
1939-07-03,1959-06-26,2948.279249097292
1939-08-02,1959-07-27,3256.7799840144185
1939-09-01,1959-08-26,3075.1572052447623
1939-10-02,1959-09-25,2683.759250851148
1939-10-31,1959-10-23,2642.137352689711
1939-11-30,1959-11-24,2745.0003114294805
1940-01-02,1959-12-24,2978.3026078553635
1940-01-29,1960-01-22,2715.75685131819
1940-02-28,1960-02-19,2527.2317698345514
1940-03-29,1960-03-23,2437.8499412821234
1940-04-29,1960-04-22,2377.0104832030474
1940-05-28,1960-05-20,2420.1723526886817
1940-06-27,1960-06-21,2569.1285738423535
1940-07-29,1960-07-21,2267.0209494050973
1940-08-26,1960-08-19,2489.3603013683064
1940-09-25,1960-09-19,2053.021029076318
1940-10-25,1960-10-19,2075.0738248736598
1940-11-25,1960-11-18,2239.0515024823335
1940-12-24,1960-12-16,2393.5650781906
1941-01-23,1961-01-17,2695.1029922411394
1941-02-24,1961-02-16,3049.2427999309552
1941-03-24,1961-03-17,3267.384842268397
1941-04-23,1961-04-17,4001.437326452972
1941-05-23,1961-05-17,3690.7226117519817
1941-06-23,1961-06-16,3261.91423870754
1941-07-22,1961-07-14,3222.073396473348
1941-08-21,1961-08-15,3535.961075821391
1941-09-22,1961-09-14,3484.0726985592923
1941-10-20,1961-10-13,3514.7600378871666
1941-11-19,1961-11-13,3994.991663429871
1941-12-19,1961-12-13,4160.920487254584
1942-01-19,1962-01-12,3573.4735962410427
1942-02-17,1962-02-09,3642.1863784182156
1942-03-19,1962-03-13,3579.78534090621
1942-04-20,1962-04-12,3090.5298875046465
1942-05-18,1962-05-11,2306.1335149903043
1942-06-17,1962-06-11,1662.9856981106468
1942-07-17,1962-07-11,1572.632993076459
1942-08-17,1962-08-10,1507.4443976972743
1942-09-15,1962-09-07,1528.4646463798294
1942-10-15,1962-10-09,1375.9692044420985
1942-11-16,1962-11-08,1412.2730112488225
1942-12-14,1962-12-07,1759.860091798576
1943-01-13,1963-01-07,1803.8275978016347
1943-02-15,1963-02-06,1964.728029263837
1943-03-15,1963-03-08,1829.6944579264216
1943-04-13,1963-04-05,2069.4573078815856
1943-05-13,1963-05-07,2143.251258564542
1943-06-14,1963-06-06,2224.9658206867457
1943-07-12,1963-07-05,2154.5263127705052
1943-08-11,1963-08-05,2074.2944006780385
1943-09-10,1963-09-04,2321.592854030292
1943-10-11,1963-10-04,2308.1765312829807
1943-11-09,1963-11-01,2370.979915378256
1943-12-09,1963-12-03,2281.9438058342507
1944-01-10,1964-01-02,2413.891482918907
1944-02-07,1964-01-31,2548.5414780766528
1944-03-08,1964-03-02,2584.2240806879895
1944-04-10,1964-04-01,2672.2262641702428
1944-05-08,1964-05-01,2721.389357015766
1944-06-06,1964-05-28,2706.8567932612964
1944-07-06,1964-06-30,2798.413614842047
1944-08-07,1964-07-30,2910.004320360616
1944-09-05,1964-08-28,2746.876136847719
1944-10-04,1964-09-28,2945.1455798039156
1944-11-03,1964-10-28,2942.925462970906
1944-12-04,1964-11-27,2946.247750657488
1945-01-02,1964-12-24,2792.627800593533
1945-02-01,1965-01-26,3044.441362451102
1945-03-05,1965-02-25,3026.6864109229878
1945-04-02,1965-03-26,2884.6533199366113
1945-05-02,1965-04-26,3128.9084548781043
1945-06-01,1965-05-26,3028.606760546764
1945-07-02,1965-06-25,2466.9660452731046
1945-07-31,1965-07-23,2543.594367490623
1945-08-30,1965-08-24,2762.1528630124817
1945-10-01,1965-09-23,3033.275419854288
1945-10-29,1965-10-22,3245.093128252285
1945-11-28,1965-11-22,3177.0653810609906
1945-12-28,1965-12-22,3220.3828487427104
1946-01-28,1966-01-21,3316.9965567890104
1946-02-26,1966-02-18,3187.3726839620863
1946-03-28,1966-03-22,2846.6145272561034
1946-04-29,1966-04-21,3120.4227210604467
1946-05-27,1966-05-20,2414.6601367034964
1946-06-26,1966-06-20,2490.3953441527915
1946-07-26,1966-07-20,2383.84693119808
1946-08-26,1966-08-19,1883.33697376993
1946-09-24,1966-09-16,1878.7555934633967
1946-10-24,1966-10-18,1741.0012426317185
1946-11-25,1966-11-17,1939.826791770651
1946-12-23,1966-12-16,1878.8073282574653
1947-01-22,1967-01-16,2051.8921265748068
1947-02-21,1967-02-15,2328.7384622421873
1947-03-24,1967-03-17,2459.706744902972
1947-04-22,1967-04-14,2436.148853080583
1947-05-22,1967-05-16,2623.4063540261277
1947-06-23,1967-06-15,2493.322513074483
1947-07-21,1967-07-14,2468.1743829155066
1947-08-20,1967-08-14,2589.4537159558804
1947-09-19,1967-09-13,2659.0852550541213
1947-10-20,1967-10-13,2603.344621861107
1947-11-18,1967-11-10,2254.8326004098994
1947-12-18,1967-12-12,2424.7774367916027
1948-01-19,1968-01-11,2509.343890461421
1948-02-16,1968-02-09,1958.2491819378167
1948-03-17,1968-03-11,1920.056762561266
1948-04-16,1968-04-10,2237.836996202851
1948-05-17,1968-05-10,2387.5496619437085
1948-06-15,1968-06-07,2552.8875430307817
1948-07-15,1968-07-09,2583.7584120514493
1948-08-16,1968-08-08,2153.0233913000166
1948-09-13,1968-09-06,2405.460142003208
1948-10-13,1968-10-07,2533.906205692772
1948-11-12,1968-11-06,2465.9419447778046
1948-12-13,1968-12-06,2748.3146734861166
1949-01-11,1969-01-03,2375.7352191751806
1949-02-10,1969-02-04,2247.2308586886256
1949-03-14,1969-03-06,1898.0980093207518
1949-04-11,1969-04-03,1957.4584667360587
1949-05-11,1969-05-05,2118.917614118255
1949-06-10,1969-06-04,1943.556078231864
1949-07-11,1969-07-03,1685.942340908921
1949-08-09,1969-08-01,1308.1637103901855
1949-09-08,1969-09-02,1351.6059535249865
1949-10-10,1969-10-02,1198.6648704351553
1949-11-07,1969-10-31,1323.9265508433807
1949-12-07,1969-12-01,1111.485517254534
1950-01-06,1969-12-31,1029.9422169814777
1950-02-06,1970-01-30,760.466720786447
1950-03-07,1970-02-27,873.130225885495
1950-04-06,1970-03-31,845.0106461818662
1950-05-08,1970-04-30,588.0664697743678
1950-06-05,1970-05-29,442.32814564955953
