First Investment Day,Last Investment Day,Return (%)
1930-02-20,1940-02-16,11.20520534454509
1930-03-24,1940-03-18,8.94936327853309
1930-04-21,1940-04-17,10.812431200937132
1930-05-21,1940-05-17,-8.960618241082106
1930-06-20,1940-06-14,-8.42741207310763
1930-07-21,1940-07-16,-6.626226404019072
1930-08-19,1940-08-15,-7.041281990034827
1930-09-18,1940-09-13,-3.7574537289806322
1930-10-20,1940-10-14,-1.2647876181722382
1930-11-17,1940-11-13,5.911766708678585
1930-12-17,1940-12-13,0.9049544018469848
1931-01-16,1941-01-10,2.7792759498775275
1931-02-16,1941-02-11,-5.282715825448073
1931-03-17,1941-03-13,-5.011039642033947
1931-04-16,1941-04-10,-7.314655432045757
1931-05-18,1941-05-12,-8.171409171900885
1931-06-15,1941-06-11,-5.4523811531280515
1931-07-15,1941-07-11,-0.7297490280754032
1931-08-14,1941-08-08,-1.0228668298051529
1931-09-14,1941-09-09,-0.9966809192035365
1931-10-13,1941-10-09,-4.411526488258114
1931-11-12,1941-11-07,-7.225812633383266
1931-12-14,1941-12-08,-12.577424756171451
1932-01-11,1942-01-07,-12.483703219487076
1932-02-10,1942-02-06,-13.890928529032523
1932-03-11,1942-03-06,-20.723611999990634
1932-04-11,1942-04-07,-20.505641641525404
1932-05-10,1942-05-07,-23.415507967856414
1932-06-09,1942-06-05,-19.121221094840614
1932-07-11,1942-07-06,-18.26115983202042
1932-08-08,1942-08-05,-19.744578190424512
1932-09-07,1942-09-04,-18.626058542469643
1932-10-07,1942-10-02,-14.294970791138761
1932-11-07,1942-11-02,-10.589252123640529
1932-12-06,1942-12-03,-12.16740316675974
1933-01-05,1942-12-31,-8.591736575236443
1933-02-06,1943-02-01,-1.8681569674241203
1933-03-15,1943-03-03,1.6132155608218544
1933-04-05,1943-04-02,6.380299238763752
1933-05-05,1943-04-30,5.881286691274242
1933-06-05,1943-06-01,10.844144724357115
1933-07-05,1943-07-01,12.299616690428698
1933-08-03,1943-07-30,7.6979092984881685
1933-09-05,1943-08-30,6.002302548035337
1933-10-02,1943-09-29,9.012651935771814
1933-11-01,1943-10-29,7.8941877101793585
1933-12-01,1943-11-26,0.769929104870971
1934-01-02,1943-12-28,3.6465408165948094
1934-01-30,1944-01-27,5.8467337461818465
1934-03-01,1944-02-25,6.379516701034012
1934-04-02,1944-03-27,8.992953419778663
1934-04-30,1944-04-26,5.893414942696671
1934-05-31,1944-05-26,9.999811338531018
1934-06-29,1944-06-23,15.82776306193824
1934-07-30,1944-07-25,14.786877481577015
1934-08-28,1944-08-24,14.61312914837075
1934-09-27,1944-09-22,12.68368439242893
